,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years,exit_year,college
177,False,False,False,False,False,False,False,False,True,True,False,False,False,Female,41–45,1 to 2 Years,2011,TAFE
178,False,False,False,False,False,False,False,True,False,False,True,True,True,Female,21–25,5 to 6 Years,2011,TAFE
179,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,31–35,3 to 4 Years,2011,TAFE
180,False,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,3 to 4 Years,2011,TAFE
181,False,False,False,False,True,False,False,False,False,False,False,False,False,Male,41–45,3 to 4 Years,2011,TAFE
182,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,56+,3 to 4 Years,2011,TAFE
183,False,False,False,False,False,True,True,False,False,False,False,False,False,Female,46–50,Under 1 Year,2011,TAFE
184,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,26–30,1 to 2 Years,2011,TAFE
185,False,True,False,False,True,True,False,False,False,False,True,False,False,Male,46–50,1 to 2 Years,2011,TAFE
186,False,True,False,False,False,False,False,False,True,True,False,True,True,Male,46–50,1 to 2 Years,2011,TAFE
187,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,5 to 6 Years,2011,TAFE
188,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2011,TAFE
189,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,46–50,5 to 6 Years,2011,TAFE
190,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,21–25,1 to 2 Years,2011,TAFE
191,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,1 to 2 Years,2011,TAFE
192,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,Under 1 Year,2011,TAFE
193,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,5 to 6 Years,2011,TAFE
194,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,26–30,Under 1 Year,2011,TAFE
195,False,False,False,True,False,True,False,False,False,False,False,False,False,Female,51-55,20 Plus Years,2011,TAFE
196,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years,2011,TAFE
197,True,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,3 to 4 Years,2011,TAFE
198,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
199,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,26–30,1 to 2 Years,2011,TAFE
200,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21–25,Under 1 Year,2011,TAFE
201,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2011,TAFE
202,False,False,True,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years,2011,TAFE
203,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE
204,False,False,False,False,True,False,True,False,False,False,False,False,False,Female,,,2010,TAFE
205,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
206,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2011,TAFE
207,True,False,False,False,False,False,False,True,True,False,True,True,False,Female,31–35,1 to 2 Years,2011,TAFE
208,False,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,1 to 2 Years,2011,TAFE
209,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,1 to 2 Years,2011,TAFE
210,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year,2011,TAFE
211,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years,2011,TAFE
212,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year,2011,TAFE
213,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,18-20,Under 1 Year,2011,TAFE
214,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,Under 1 Year,2011,TAFE
215,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,Under 1 Year,2011,TAFE
216,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,,,2011,TAFE
217,False,False,False,False,False,False,False,True,False,False,True,False,True,Female,21–25,1 to 2 Years,2011,TAFE
218,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years,2011,TAFE
219,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,7 to 10 Years,2011,TAFE
220,False,True,False,False,False,True,False,False,False,False,True,True,False,Female,26–30,1 to 2 Years,2011,TAFE
221,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,41–45,11 to 20 Years,2011,TAFE
222,False,False,False,False,False,False,False,False,True,True,False,False,True,Female,56+,3 to 4 Years,2012,TAFE
223,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2011,TAFE
224,False,False,False,True,False,False,False,True,False,False,False,False,False,Female,46–50,5 to 6 Years,2011,TAFE
225,False,False,False,False,False,False,False,True,False,False,False,False,True,Female,56+,3 to 4 Years,2011,TAFE
226,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,Under 1 Year,2011,TAFE
227,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,3 to 4 Years,2011,TAFE
228,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2011,TAFE
229,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years,2011,TAFE
230,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
231,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,31–35,1 to 2 Years,2011,TAFE
